1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,t,OMIM no.,Disease Name,Disease Name comments,Gene Affected,Enzyme/protein Defected,EC number/ Protein Entry,Drug name,Drug name comments,Drug ID,Study Type (Evidence code),Mutations improved by treatment,Mutations improved by treatment comments,Mutation that didn't get benefits out the treatment,Mutation that didn't get benefits out the treatment comments,Treatment mechanism of action,Abbreviation for treatment mechanism,Comments(This column will be retired),phenotypes  improved,phenotypes  improved comments,Phenotypes  IDS,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference
1,1,202110,17-alpha-hydroxylase deficiency ,,CYP17A1 gene,Steroid 17-alpha-hydroxylase,1.14.14.19,Hydrocortisone,,DB00741,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
2,,,,,,,,,,,,,,,,,,,Abnormality of potassium homeostasis,,HP:0011042,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,Abnormal circulating renin,,HP:0040084,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Hypertension,,HP:0000822,,,,,,,,,,,
5,,,,,,,,Dexamethasone,,DB01234,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,Hypokalemia,,HP:0002900,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,Abnormal circulating renin,,HP:0040084,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,Hypertension,,HP:0000822,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,Bone mass loss,,NA,,,,,,,,,,,
10,,,,,,,,Testosterone,,DB00624,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Puberty and gonadal disorders,,HP:0008373,https://www.ncbi.nlm.nih.gov/pubmed/26161337#,,,,,,,,,,
11,,,,,,,,"Estrogen replacement (                                                             
Estradiol)",,DB00783,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Puberty and gonadal disorders,,HP:0008373,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/26161337#,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,,,,,,,
12,,,,,,,,Cyclic medroxyprogesterone,,DB00603,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Puberty and gonadal disorders,,HP:0008373,https://www.ncbi.nlm.nih.gov/pubmed/26161337#,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,Amenorrhea,,HP:0000141,,,,,,,,,,,
14,,,,,,,,Pioglitazone,,DB01132,ECO:0007121 /ECO:0000352,,,,,Supportive (C),C,,Insulin resistance,,HP:0000855,https://www.orpha.net/consor/cgi-bin/ResearchTrials_ClinicalTrials.php?lng=EN&data_id=38680&ClinicalTrialName=Effecten-van-Pioglitazone-bij-Congenitale-Bijnierhyperplasie&title=Effecten-van-Pioglitazone-bij-Congenitale-Bijnierhyperplasie&search=ResearchTrials_ClinicalTrials_Simple,https://www.ncbi.nlm.nih.gov/pubmed/19755409,https://clinicaltrials.gov/ct2/show/NCT00151710,,,,,,,,
15,,,,,,,,,,,,,,,,,,,Hypertension,,HP:0000822,,,,,,,,,,,
16,2,# 236792,2-Hydroxyglutaric aciduria ,,L2HGDH,L-2-hydroxyglutarate dehydrogenase.,1.1.99.2,Riboflavin,,DB00140 ,ECO:0000352,,,,,Functional interaction(Mechanistic B),B,,Cognitive impairment,,HP:0100543,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3388262/,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,L-2-hydroxyglutaric aciduria,,HP:0040144,,https://www.ncbi.nlm.nih.gov/pubmed/24321868,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,Poor motor coordination,,HP:0002275,,,,,,,,,,,
19,,,,,,,,Flavin adenine dinucleotide + levocarnitine chloride.,,DB03147 +DB00583,ECO:0000352,,,,,Functional interaction(Mechanistic B)+Supportive (C),B+C,,defected  L-2-HGDH enzyme activity,,NA,https://www.ncbi.nlm.nih.gov/pubmed/18362286,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3388262/,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,L-2-hydroxyglutaric aciduria,,HP:0040144,https://www.ncbi.nlm.nih.gov/pubmed/18362286,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3388262/,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,Leukodystrophy,,HP:0002415,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,dystonia,,HP:0001332,,,,,,,,,,,
23,,# 203700,ALPERS SYNDROME,,POLG,DNA polymerase subunit gamma-1,2.7.7.7,Magnesium,,DB14513,ECO:0000352,,,,,Symptomatic (C),,,Status epilepticus,,,https://www.ncbi.nlm.nih.gov/pubmed/20803213?dopt=Abstract,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,#615182,"Combined D,L-2-hydroxyglutaric aciduria",,SLC25A1,"Tricarboxylate transport protein, mitochondrial",P53007,Citrate treatment,,DB09125,ECO:0000352,,,,,Supportive (C),C,,seizures,,HP:0001250,https://www.ncbi.nlm.nih.gov/pubmed/24687295,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,D-2-hydroxyglutaric aciduria,,HP:0012321,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,L-2-hydroxyglutaric aciduria,,HP:0040144,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,low urinary excretion of TCA cycle intermediates malate and succinate,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,Hypocitraturia,,HP:0012405,,,,,,,,,,,
33,3,# 203750,2-methyl-3-hydroxybutyric aciduria,,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type II,1.1.1.35,Benzhexol,,DB00376,ECO:0000352,,,,,Symptomatic (C),C,,tremor,,HP:0001337,https://www.ncbi.nlm.nih.gov/pubmed/?term=2-Methyl-3-hydroxybutyryl-CoA+dehydrogenase+deficiency+in+a+23-year-old+man,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,dystonia,,HP:0001332,https://www.ncbi.nlm.nih.gov/pubmed/?term=2-Methyl-3-hydroxybutyryl-CoA+dehydrogenase+deficiency+in+a+23-year-old+man,,,,,,,,,,
35,,,,,,,,Vigabatrin,,DB01080 ,ECO:0000352,,,,,Symptomatic (C),C,,seizures,,HP:0001250,http://www.medlink.com/scripts/mpdf/print_friendly.php?title=2-methyl-3-hydroxybutyryl-coa_dehydrogenase_deficiency&action=download&channel=public_content&entryid=19985,,,,,,,,,,
36,,,,,,,,levodopa ,,DB01235,ECO:0000352,,,,,Symptomatic (C),C,,dystonia,,HP:0001332,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6019692/,,,,,,,,,,
