row_id,datatype_value
1,3BHS7_HUMAN
2,A0A024QZB8_HUMAN
3,A0A024QZQ2_HUMAN
4,A0A024R0K3_HUMAN
5,A0A024R0R7_HUMAN
6,A0A024R0Y5_HUMAN
7,A0A024R184_HUMAN
8,A0A024R1Q5_HUMAN
9,A0A024R2C3_HUMAN
10,A0A024R2P4_HUMAN
11,A0A024R2W4_HUMAN
12,A0A024R3C7_HUMAN
13,A0A024R3G4_HUMAN
14,A0A024R3H9_HUMAN
15,A0A024R3K6_HUMAN
16,A0A024R3L1_HUMAN
17,A0A024R445_HUMAN
18,A0A024R454_HUMAN
19,A0A024R467_HUMAN
20,A0A024R4F5_HUMAN
21,A0A024R4W7_HUMAN
22,A0A024R4X4_HUMAN
23,A0A024R5F4_HUMAN
24,A0A024R5F9_HUMAN
25,A0A024R5H1_HUMAN
26,A0A024R5K5_HUMAN
27,A0A024R601_HUMAN
28,A0A024R642_HUMAN
29,A0A024R6C0_HUMAN
30,A0A024R6G4_HUMAN
31,A0A024R6R7_HUMAN
32,A0A024R6Z6_HUMAN
33,A0A024R713_HUMAN
34,A0A024R7F9_HUMAN
35,A0A024R7T2_HUMAN
36,A0A024R956_HUMAN
37,A0A024R9W0_HUMAN
38,A0A024R9Y7_HUMAN
39,A0A024RAB4_HUMAN
40,A0A024RAC7_HUMAN
41,A0A024RAD8_HUMAN
42,A0A024RB14_HUMAN
43,A0A024RBG4_HUMAN
44,A0A024RDL8_HUMAN
45,A0A068F658_HUMAN
46,A0A087WTR6_HUMAN
47,A0A087WV24_HUMAN
48,A0A087WZN9_HUMAN
49,A0A087X1T6_HUMAN
50,A0A0A0MS45_HUMAN
51,A0A0A0MT32_HUMAN
52,A0A0A0MT83_HUMAN
53,A0A0B4RUS7_HUMAN
54,A0A0C4DGU2_HUMAN
55,A0A0S2A4E4_HUMAN
56,A0A0S2Z316_HUMAN
57,A0A0S2Z381_HUMAN
58,A0A0S2Z3D5_HUMAN
59,A0A0S2Z3E1_HUMAN
60,A0A0S2Z3G4_HUMAN
61,A0A0S2Z3H3_HUMAN
62,A0A0S2Z3I9_HUMAN
63,A0A0S2Z3K3_HUMAN
64,A0A0S2Z3L0_HUMAN
65,A0A0S2Z3N4_HUMAN
66,A0A0S2Z3P9_HUMAN
67,A0A0S2Z410_HUMAN
68,A0A0S2Z4C3_HUMAN
69,A0A0S2Z4E6_HUMAN
70,A0A0S2Z4F4_HUMAN
71,A0A0S2Z4J1_HUMAN
72,A0A0S2Z4K0_HUMAN
