1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
row_id,t,OMIM no.,Disease Name,Disease Name comments,Gene Affected,Enzyme/protein Defected,EC number/ Protein Entry,Drug formulation/Dosage,Drug name comments,Drug name,Drug ID,Study Type (Evidence code),Mutations improved by treatment,Mutations improved by treatment comments,Mutation that didn't get benefits out the treatment,Mutation that didn't get benefits out the treatment comments,Treatment mechanism of action,Abbreviation for treatment mechanism,new ontology category,Population information,phenotypes  improved,phenotypes  improved comments,Phenotypes  IDS,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference
1,1,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Hydrocortisone,DB00741,ECO:0000352,,,,,Functional interaction,B,metabolite replacement,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
2,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Hydrocortisone,DB00741,,,,,,,,,,Abnormality of potassium homeostasis,,HP:0011042,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
3,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Hydrocortisone,DB00741,,,,,,,,,,Abnormal circulating renin,,HP:0040084,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
4,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Hydrocortisone,DB00741,,,,,,,,,,Hypertension,,HP:0000822,https://www.ncbi.nlm.nih.gov/pubmed/26161337,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
5,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Dexamethasone,DB01234,ECO:0000352,,,,,Functional interaction,B,metabolite replacement,,Abnormal plasma aldosterone,,HP:0040085,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
6,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Dexamethasone,DB01234,,,,,,,,,,Hypokalemia,,HP:0002900,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
7,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Dexamethasone,DB01234,,,,,,,,,,Abnormal circulating renin,,HP:0040084,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
8,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Dexamethasone,DB01234,,,,,,,,,,Hypertension,,HP:0000822,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
9,,202110,17-alpha-hydroxylase deficiency,,CYP17A1,Steroid 17-alpha-hydroxylase,1.14.14.19,,,Dexamethasone,DB01234,,,,,,,,,,Bone mass loss,,NA,https://www.ncbi.nlm.nih.gov/pubmed/27853336,https://www.ncbi.nlm.nih.gov/pubmed/18458702#,https://www.ncbi.nlm.nih.gov/pubmed/18458702,,,,,,,,
